date,spot,return,excess_return,moving_average_10d,moving_average_30d,historical_volatility_10d,historical_volatility_30d,liquidation_level
2019-11-01,181.91,0.004837557033697958,0.0021426463253574504,177.571,178.392,9.808661082034712,7.370044869558829,190.91
2019-11-02,183.15,-0.0015834015834015399,-0.0042783122917420474,178.78,178.4776666666667,9.660939682844297,7.411175942492176,190.91
2019-11-03,183.0,-0.009016393442622983,-0.01171130415096349,180.848,178.74733333333333,7.775419674275546,7.424056857937251,190.91
2019-11-04,181.68,0.022677234698370786,0.01998232399003028,182.98700000000002,178.96966666666668,2.9139894379432145,7.408131358843817,190.91
2019-11-05,185.71,0.016100371547035596,0.013405460838695088,183.416,179.285,2.972855716497407,7.489266687549688,190.91
2019-11-06,188.58,0.014211475235974007,0.0115165645276335,184.317,179.902,3.042258116012628,7.466348597494661,190.91
2019-11-07,190.91,-0.021004661882562416,-0.023699572590902922,185.04000000000002,180.236,3.6686752074526927,7.7314800296111486,190.91
2019-11-08,186.76,-0.016866566716641558,-0.019561477424982064,185.551,180.44266666666667,3.495833869686135,7.822765157707588,189.12
2019-11-09,183.62,0.006807537305304433,0.004112626596963926,184.85899999999998,180.136,3.0557357724632186,7.4942500257381335,189.12
2019-11-10,184.7,0.023822414726583682,0.021127504018243176,185.002,179.9066666666667,3.0061706907995935,7.232676965823524,189.12
2019-11-11,189.12,-0.02268401015228422,-0.025378920860624727,185.723,180.19033333333334,3.046539202293551,7.425523775016377,189.12
2019-11-12,184.48,0.0130637467476149,0.010368836039274392,185.856,180.36233333333334,2.9492078032358093,7.464328818630903,188.54
2019-11-13,187.06,0.0044370790120816,0.0017421683037410923,186.262,180.571,2.7873715217029025,7.56382240076702,188.54
2019-11-14,188.54,-0.019412326296807027,-0.022107237005147534,186.948,180.63033333333334,2.343159310750328,7.620812013632573,188.54
2019-11-15,184.92,-0.026119402985074543,-0.02881431369341505,186.869,180.77833333333334,2.4021122649313753,7.660800391844072,184.92
2019-11-16,179.99,0.01316739818878829,0.010472487480447783,186.01,180.95933333333332,3.14369916570349,7.572452312361474,183.68
2019-11-17,182.48,0.00695966681280146,0.004264756104460952,185.16699999999997,181.132,2.794637921289888,7.545142945562107,183.68
2019-11-18,183.68,-0.029453397212543534,-0.032148307920884044,184.85899999999998,181.49333333333334,2.7691733624154797,7.392364342665528,183.68
2019-11-19,178.08,-0.011792452830188807,-0.014487363538529315,184.305,181.70066666666665,3.501832060190505,7.197520134876602,178.08
