date,spot,return,excess_return
2019-09-23,209.55,0.0,-0.002700440716025873
2019-09-24,195.5,-0.14531969309462914,-0.148020133810655
2019-09-25,166.84,0.018940302085830717,0.016239861369804844
2019-09-26,169.95,-0.01918211238599583,-0.021882553102021703
2019-09-27,166.34,0.0441866057472646,0.041486165031238725
2019-09-28,174.14,-0.0074652578385206335,-0.010165698554546507
2019-09-29,173.92,-0.025643974241030244,-0.028344414957056117
2019-09-30,169.4,0.06635182998819351,0.06365138927216764
2019-10-01,180.43,-0.026436845313972234,-0.029137286029998107
2019-10-02,175.83,0.026218506511971704,0.02351806579594583
2019-10-03,180.58,-0.03306013955033779,-0.03576058026636367
2019-10-04,174.91,0.004630953061574537,0.0019305123455486644
2019-10-05,175.01,0.005885377978401241,0.003184937262375368
2019-10-06,176.25,-0.03438297872340427,-0.037083419439430144
2019-10-07,170.07,0.05803492679484921,0.05533448607882333
2019-10-08,180.89,-0.0009950798828015834,-0.0036955205988274563
2019-10-09,180.56,0.06784448382809039,0.06514404311206451
2019-10-10,192.82,-0.008816512809874435,-0.011516953525900308
2019-10-11,191.58,-0.05741726693809374,-0.06011770765411962
2019-10-12,180.61,-0.004872376944798315,-0.007572817660824188
2019-10-13,179.32,0.009647557439214914,0.006947116723189041
2019-10-14,180.8,0.03279867256637156,0.03009823185034569
2019-10-15,186.76,-0.03276932962090386,-0.03546977033692974
2019-10-16,180.48,-0.03280141843971624,-0.03550185915574212
2019-10-17,174.56,0.014780018331805592,0.01207957761577972
2019-10-18,177.3,-0.025437112239142804,-0.028137552955168676
2019-10-19,172.84,-0.007289979171488029,-0.009990419887513901
2019-10-20,171.86,0.019143488886302757,0.016443048170276885
2019-10-21,174.95,-0.005201486138896809,-0.007901926854922681
2019-10-22,173.9,-0.015066129959747007,-0.01776657067577288
2019-10-23,171.06,-0.05214544604232442,-0.054845886758350296
2019-10-24,162.32,-0.012259733859043746,-0.014960174575069618
2019-10-25,160.29,0.1315116351612703,0.12881119444524441
2019-10-26,181.42,-0.01074853930106928,-0.013448980017095153
2019-10-27,179.57,0.02400178203486107,0.0213013413188352
2019-10-28,183.68,-0.01181402439024399,-0.014514465106269862
2019-10-29,181.65,0.04883016790531244,0.04612972718928656
2019-10-30,190.54,-0.039676708302718605,-0.04237714901874448
2019-10-31,183.27,-0.0045834015387133924,-0.007283842254739265
2019-11-01,181.91,0.004837557033697958,0.002137116317672085
2019-11-02,183.15,-0.0015834015834015399,-0.004283842299427413
2019-11-03,183.0,-0.009016393442622983,-0.011716834158648855
2019-11-04,181.68,0.022677234698370786,0.019976793982344913
2019-11-05,185.71,0.016100371547035596,0.013399930831009724
2019-11-06,188.58,0.014211475235974007,0.011511034519948135
2019-11-07,190.91,-0.021004661882562416,-0.02370510259858829
2019-11-08,186.76,-0.016866566716641558,-0.01956700743266743
2019-11-09,183.62,0.006807537305304433,0.004107096589278559
2019-11-10,184.7,0.023822414726583682,0.02112197401055781
2019-11-11,189.12,-0.02268401015228422,-0.025384450868310093
2019-11-12,184.48,0.0130637467476149,0.010363306031589027
2019-11-13,187.06,0.0044370790120816,0.0017366382960557268
2019-11-14,188.54,-0.019412326296807027,-0.0221127670128329
2019-11-15,184.92,-0.026119402985074543,-0.028819843701100415
2019-11-16,179.99,0.01316739818878829,0.010466957472762418
2019-11-17,182.48,0.00695966681280146,0.004259226096775587
2019-11-18,183.68,-0.029453397212543534,-0.032153837928569406
2019-11-19,178.08,-0.011792452830188807,-0.01449289354621468
2019-11-20,175.96,-0.007331211639008982,-0.010031652355034854
2019-11-21,174.44,-0.07733318046319657,-0.08003362117922244
2019-11-22,161.11,-0.06895909626962952,-0.0716595369856554
2019-11-23,149.85,0.012345679012345642,0.00964523829631977
2019-11-24,152.5,-0.08111475409836069,-0.08381519481438657
2019-11-25,139.79,0.042849989269618784,0.04014954855359291
2019-11-26,146.84,0.0036093707436665834,0.0009089300276407105
2019-11-27,147.52,0.03463937093275478,0.0319389302167289
2019-11-28,153.25,-0.016508972267536712,-0.019209412983562584
2019-11-29,150.57,0.0246397024639703,0.021939261747944427
2019-11-30,154.14,-0.016802906448682854,-0.019503347164708727
2019-12-01,150.76,0.0009286282833643857,-0.0017718124326614871
2019-12-02,151.12,-0.0160137638962415,-0.018714204612267374
2019-12-03,148.92,-0.012489927477840354,-0.015190368193866226
2019-12-04,147.17,-0.011755113134470271,-0.014455553850496143
2019-12-05,145.58,0.013600769336447242,0.01090032862042137
2019-12-06,148.23,0.0017540308979290247,-0.0009464098180968481
2019-12-07,148.34,-0.007617635162464578,-0.01031807587849045
2019-12-08,147.0,0.023061224489795827,0.020360783773769955
2019-12-09,150.47,-0.0202698212268227,-0.022970261942848572
2019-12-10,147.28,-0.011271048343291666,-0.013971489059317539
2019-12-11,145.51,-0.014500721599889941,-0.017201162315915813
2019-12-12,143.52,0.009476031215161546,0.0067755904991356735
2019-12-13,145.16,-0.003100027555800418,-0.00580046827182629
2019-12-14,144.83,-0.020921079886763796,-0.02362152060278967
2019-12-15,141.88,0.0038765153650973457,0.0011760746490714728
2019-12-16,142.3,-0.06830639494026702,-0.0710068356562929
2019-12-17,132.7,-0.08078372268274292,-0.0834841633987688
2019-12-18,122.09,0.08682119747727082,0.08412075676124495
2019-12-19,133.06,-0.03682549225913126,-0.039525932975157135
2019-12-20,128.35,-0.0007012076353720562,-0.003401648351397929
2019-12-21,128.36,-0.010283577438454403,-0.012984018154480276
2019-12-22,127.07,0.03989926811993384,0.037198827403907966
2019-12-23,132.66,-0.033544399216040924,-0.0362448399320668
2019-12-24,127.91,-0.00031271988116638296,-0.0030131605971922557
2019-12-25,127.87,-0.021819034957378636,-0.024519475673404508
2019-12-26,125.08,0.00423728813559323,0.001536847419567357
2019-12-27,125.47,0.0062963258149358915,0.0035958850989100187
2019-12-28,126.92,0.012369996848408504,0.009669556132382632
2019-12-29,127.95,0.055646737006643146,0.05294629629061727
2019-12-30,133.79,-0.017041632408999186,-0.01974207312502506
2019-12-31,131.52,-0.0172597323600974,-0.019960173076123272
2020-01-01,128.93,0.012332273326611366,0.009631832610585494
2020-01-02,130.42,-0.024536114092930446,-0.027236554808956318
2020-01-03,127.08,0.05406043437204903,0.05135999365602315
2020-01-04,134.79,-0.0057125899547442825,-0.008413030670770155
2020-01-05,134.84,0.002892316819934636,0.00019187610390876322
2020-01-06,135.24,0.0646258503401359,0.06192540962411003
2020-01-07,144.55,-0.011483915600138533,-0.014184356316164406
2020-01-08,142.94,-0.014341681824541845,-0.01704212254056772
2020-01-09,140.51,-0.017294142765639304,-0.019994583481665176
2020-01-10,137.71,0.04799941906905805,0.04529897835303218
2020-01-11,144.24,-0.010399334442595673,-0.013099775158621546
2020-01-12,142.01,0.028589535948172682,0.02588909523214681
2020-01-13,146.32,-0.016539092400218613,-0.019239533116244486
2020-01-14,143.5,0.15944250871080137,0.1567420679947755
2020-01-15,165.44,0.002840909090909084,0.0001404683748832112
2020-01-16,165.59,-0.007005253940455321,-0.009705694656481193
2020-01-17,164.63,0.03389418696470882,0.031193746248682947
2020-01-18,170.01,0.024586789012411077,0.021886348296385204
2020-01-19,174.29,-0.042802226174766075,-0.04550266689079195
2020-01-20,167.14,-0.0017350723943998568,-0.00443551311042573
2020-01-21,166.9,0.013720790892750101,0.011020350176724229
2020-01-22,169.78,-0.009188361408882096,-0.011888802124907968
2020-01-23,168.23,-0.031682815193485016,-0.03438325590951089
2020-01-24,163.13,-0.004842763440201018,-0.00754320415622689
2020-01-25,161.78,-0.007108418840400579,-0.009808859556426451
2020-01-26,160.26,0.04736053912392365,0.04466009840789777
2020-01-27,168.34,0.011524296067482462,0.00882385535145659
2020-01-28,170.54,0.031488213908760436,0.028787773192734564
2020-01-29,175.99,-0.012102960395476989,-0.014803401111502862
2020-01-30,173.86,0.06068100770735064,0.05798056699132476
2020-01-31,184.67,-0.02783343260951961,-0.030533873325545483
2020-02-01,179.43,0.02407624143119876,0.021375800715172887
2020-02-02,183.19,0.029805120366832295,0.027104679650806422
2020-02-03,188.07,0.011059711809432726,0.008359271093406853
2020-02-04,190.55,-0.007819469955392332,-0.010519910671418204
2020-02-05,188.89,0.07919953412038758,0.0764990934043617
2020-02-06,203.9,0.04600294261893083,0.04330250190290495
2020-02-07,213.39,0.04747176531233902,0.044771324596313146
2020-02-08,223.53,-0.00040263051939338525,-0.003103071235419258
2020-02-09,223.69,0.01998301220439,0.017282571488364127
2020-02-10,229.09,-0.025273909817102414,-0.027974350533128287
2020-02-11,223.03,0.06348921669730528,0.06078877598127941
2020-02-12,237.03,0.12023794456397913,0.11753750384795325
2020-02-13,265.55,0.012841272829975402,0.01014083211394953
2020-02-14,268.96,0.062165377751338596,0.05946493703531272
2020-02-15,285.7,-0.07227861393069646,-0.07497905464672233
2020-02-16,264.84,-0.021484669989427573,-0.024185110705453445
2020-02-17,259.06,0.034277773488767066,0.03157733277274119
2020-02-18,268.39,0.05100786169380379,0.04830742097777791
2020-02-19,282.93,-0.08528611317286959,-0.08798655388889547
2020-02-20,257.85,-0.00015512895094054862,-0.0028555696669664214
2020-02-21,257.0,0.03712062256809347,0.03442018185206759
2020-02-22,264.44,-0.00994554530328239,-0.012645986019308263
2020-02-23,262.04,0.04922912532437787,0.046528684608351994
2020-02-24,274.94,-0.03313450207317965,-0.03583494278920553
2020-02-25,265.92,-0.07355595667870037,-0.07625639739472624
2020-02-26,247.49,-0.09527657683138717,-0.09797701754741305
2020-02-27,223.28,0.017825152275170144,0.015124711559144272
2020-02-28,227.8,-0.005004389815627808,-0.0077048305316536805
2020-02-29,228.68,-0.05129438516704573,-0.053994825883071605
2020-03-01,218.92,-0.004202448382970891,-0.0069028890989967645
2020-03-02,218.0,0.06188073394495417,0.059180293228928295
2020-03-03,232.03,-0.03555574710166789,-0.038256187817693764
2020-03-04,223.77,0.0019663046878491204,-0.0007341360281767524
2020-03-05,224.51,0.018217451338470463,0.01551701062244459
2020-03-06,228.05,0.07564130673098005,0.07294086601495417
2020-03-07,246.46,-0.039235575752657695,-0.04193601646868357
2020-03-08,236.59,-0.15888245487974978,-0.16158289559577566
2020-03-09,199.81,0.015664881637555656,0.012964440921529784
2020-03-10,203.69,-0.015955618832539643,-0.018656059548565515
2020-03-11,200.62,-0.03055527863622767,-0.03325571935225354
2020-03-12,195.12,-0.4431631816318163,-0.44586362234784216
2020-03-13,107.87,0.23546861963474558,0.2327681789187197
2020-03-14,134.27,-0.08914873017055196,-0.09184917088657783
2020-03-15,122.59,0.009054572151072677,0.006354131435046805
2020-03-16,123.21,-0.10396883369856334,-0.10666927441458922
2020-03-17,111.66,0.04039047107289992,0.037690030356874044
2020-03-18,115.3,0.022983521248915922,0.02028308053289005
2020-03-19,119.13,0.1479056492906909,0.145205208574665
2020-03-20,137.02,-0.030798423587797392,-0.03349886430382327
2020-03-21,132.33,0.000528980578855839,-0.002171460137170034
2020-03-22,131.78,-0.07163454241918348,-0.07433498313520935
2020-03-23,121.69,0.11734735804092367,0.11464691732489779
2020-03-24,136.22,0.017985611510791283,0.01528517079476541
2020-03-25,137.76,-0.010815911730545738,-0.01351635244657161
2020-03-26,136.37,0.01459265234289073,0.011892211626864858
2020-03-27,138.73,-0.05420601167735877,-0.05690645239338465
2020-03-28,131.2,-0.001295731707316978,-0.003996172423342851
2020-03-29,131.03,-0.049835915439212404,-0.05253635615523828
2020-03-30,124.28,0.06252011586739628,0.059819675151370405
2020-03-31,132.05,0.00605831124574012,0.0033578705297142475
2020-04-01,132.85,0.021226947685359376,0.018526506969333504
2020-04-02,135.94,0.0342062674709431,0.03150582675491723
2020-04-03,141.58,-0.001977680463342288,-0.004678121179368161
2020-04-04,141.26,0.021449808863089347,0.018749368147063475
2020-04-05,144.29,-0.008801718760828761,-0.011502159476854634
2020-04-06,143.01,0.19040626529613328,0.1877058245801074
2020-04-07,170.62,-0.03481420700972921,-0.037514647725755086
2020-04-08,164.68,0.0496720913286374,0.04697165061261152
2020-04-09,171.86,-0.00960083789130691,-0.012301278607332782
2020-04-10,169.2,-0.06973995271867603,-0.0724403934347019
2020-04-11,157.84,0.003611251900658852,0.0009108111846329791
2020-04-12,158.65,0.00044122281752280603,-0.0022592178985030666
2020-04-13,158.61,-0.013492213605699606,-0.01619265432172548
2020-04-14,156.66,0.005361930294906188,0.002661489578880315
2020-04-15,157.52,-0.027805992889791922,-0.030506433605817795
